ts,bot_variant,exchange,trading_pair,side,price,amount_base,notional_quote,fee_quote,order_id,state
2026-02-20T00:15:40.951055+00:00,a,bitget_paper_trade_paper_sim,BTC-USDT,buy,67257.0050000000,0.0001486833973650774369153071862,10.00000000000000,0.01000000000000000,paper-29525775-buy,running
2026-02-20T00:16:00.957082+00:00,a,bitget_paper_trade_paper_sim,BTC-USDT,buy,67202.7250000000,0.0001488032208435772660051616097,9.999981929465191023596724237,0.009999981929465191023596724237,paper-29525776-buy,running
2026-02-20T00:17:21.013058+00:00,a,bitget_paper_trade_paper_sim,BTC-USDT,buy,67259.9450000000,0.0001486767340007125408387979168,9.999988951667555457627801750,0.009999988951667555457627801750,paper-29525777-buy,running
2026-02-20T00:18:00.023443+00:00,a,bitget_paper_trade_paper_sim,BTC-USDT,buy,67224.9450000000,0.0001487537600210944979161948373,9.999963335961276462218812547,0.009999963335961276462218812547,paper-29525778-buy,running
2026-02-20T00:19:00.053243+00:00,a,bitget_paper_trade_paper_sim,BTC-USDT,buy,67241.0150000000,0.0001487182026671657773824880403,9.999962896315934044462539052,0.009999962896315934044462539052,paper-29525779-buy,running
