ts,bot_variant,exchange,trading_pair,state,regime,mid,equity_quote,base_pct,target_base_pct,spread_pct,spread_floor_pct,net_edge_pct,skew,adverse_drift_30s,soft_pause_edge,base_balance,quote_balance,turnover_today_x,cancel_per_min,orders_active,fee_source,maker_fee_pct,taker_fee_pct
2026-02-20T16:33:59.297388+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67421.7250000000,77421.7250000000,0.8708372875959557863119169716,0.50,0.00425,0.00425,0.000200,0.002,0,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:34:00.338561+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67414.9350000000,77414.9350000000,0.8708259588411460915132202849,0.50,0.00425,0.00425,0.000200,0.002,0,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:35:00.547297+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67410.8650000000,77410.8650000000,0.8708191673093951346493802905,0.50,0.00425,0.00425,-0.0004004119167144806811714014230,0.002,0.0006004119167144806811714014230,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:36:00.781828+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67467.7050000000,77467.7050000000,0.8709139505294496590546989871,0.50,0.00425,0.00425,-0.0006219568848679606591052863576,0.002,0.0008219568848679606591052863576,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:37:00.084950+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67457.1250000000,77457.1250000000,0.8708963184471409182822109651,0.50,0.00425,0.00425,-0.0005367136562693760995165743141,0.002,0.0007367136562693760995165743141,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:38:00.331011+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67463.3350000000,77463.3350000000,0.8709066682966851349738556957,0.50,0.00425,0.00425,0.0000682073509017826771830974223,0.002,0.0001317926490982173228169025777,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:39:00.603235+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,67465.9850000000,77465.9850000000,0.8709110843940085445244128762,0.50,0.005581443313439829539701343375,0.005581443313439829539701343375,0.0004208136937741535481320331005,0.002,0.0003117636316017782677485042495,False,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:40:10.487260+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67476.0850000000,77476.0850000000,0.8709279127875395355870137217,0.50,0.00425,0.00425,0.000200,0.002,0,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:41:00.862286+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67415.1150000000,77415.1150000000,0.8708262591872401145435229283,0.50,0.00425,0.00425,-0.0003467637751189088767855811090,0.002,0.0005467637751189088767855811090,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:42:00.109862+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67445.4950000000,77445.4950000000,0.8708769309305854394758533082,0.50,0.00425,0.00425,-0.0000751094638470812345922580550,0.002,0.0002751094638470812345922580550,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:43:01.543198+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67440.2350000000,77440.2350000000,0.8708681604594820767266524953,0.50,0.00425,0.00425,0.000200,0.002,0,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:44:00.697871+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67490.3050000000,77490.3050000000,0.8709515983967284681612751427,0.50,0.00425,0.00425,-0.0000707803755626043709848162274,0.002,0.0002707803755626043709848162274,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:45:00.845936+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67488.2550000000,77488.2550000000,0.8709481843409688345672515144,0.50,0.00425,0.00425,-0.0001326879296123585715245350312,0.002,0.0003326879296123585715245350312,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:45:31.337825+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67523.5150000000,77523.5150000000,0.8710068809444463399266661219,0.50,0.00425,0.00425,0.000200,0.002,0,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:46:00.516782+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67518.7350000000,77518.7350000000,0.8709989269045734556942911930,0.50,0.00425,0.00425,0.000200,0.002,0,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:47:00.672840+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67504.5250000000,77504.5250000000,0.8709752753145703428283703435,0.50,0.00425,0.00425,-0.0003993041232286532512655821108,0.002,0.0005993041232286532512655821108,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:48:00.804270+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67577.7750000000,77577.7750000000,0.8710971022306324201744636270,0.50,0.00425,0.00425,-0.000805037407462680487350563639,0.002,0.001005037407462680487350563639,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:49:00.941680+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67675.1550000000,77675.1550000000,0.8712587055667928824860407424,0.50,0.00425,0.00425,-0.0007107638517856806122143371357,0.002,0.0009107638517856806122143371357,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:50:00.084245+00:00,a,bitget_paper_trade,BTC-USDT,soft_pause,neutral_low_vol,67656.0750000000,77656.0750000000,0.8712270739926013515362449107,0.50,0.00425,0.00425,-0.0000064428950800904595231169124,0.002,0.0002064428950800904595231169124,True,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-20T16:51:00.207328+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,67604.7950000000,77604.7950000000,0.8711419829148443726963005314,0.50,0.004910906724104931583956112245,0.004910906724104931583956112245,0.0002916237232879886378180990045,0.002,0.0001727389663539839957643458935,False,1,10000,0E+10,0,0,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
