ts,bot_variant,exchange,trading_pair,state,regime,mid,equity_quote,base_pct,target_base_pct,spread_pct,spread_floor_pct,net_edge_pct,skew,adverse_drift_30s,soft_pause_edge,base_balance,quote_balance,market_spread_pct,market_spread_bps,best_bid_size,best_ask_size,turnover_today_x,cancel_per_min,orders_active,fills_count_today,fees_paid_today_quote,daily_loss_pct,drawdown_pct,risk_reasons,fee_source,maker_fee_pct,taker_fee_pct
2026-02-21T02:58:28.822781+00:00,d,binance_perpetual_testnet,BTC-USDT,soft_pause,neutral_low_vol,67991.10,5679.9110000000,0.1197045164968253903978425014,0.50,0.0025,0.00175,0.00050,0.0030,0,False,0.01000000,5000.00000000,0,0,0,0,0E+10,0,0,0,0,0,0,base_pct_below_min,project:/home/hummingbot/project_config/fee_profiles.json,0.0002,0.0004
2026-02-21T02:59:00.861345+00:00,d,binance_perpetual_testnet,BTC-USDT,soft_pause,neutral_low_vol,67987.40,5679.8740000000,0.1196987820504468937163042701,0.50,0.0025,0.00175,0.0004455811128221193656228535794,0.0030,0.00005441888717788063437714642063,False,0.01000000,5000.00000000,0,0,0,0,0E+10,0,0,0,0,0.000006514186577923492111055965490,0.000006690244496745724229530316667,base_pct_below_min,project:/home/hummingbot/project_config/fee_profiles.json,0.0002,0.0004
2026-02-21T02:59:47.516698+00:00,d,binance_perpetual_testnet,BTC-USDT,soft_pause,neutral_low_vol,67975.00,5679.7500000000,0.1196795633610634270874598354,0.50,0.0025,0.00175,0.00050,0.0030,0,False,0.01000000,5000.00000000,0,0,0,0,0E+10,0,0,0,0,0,0,,project:/home/hummingbot/project_config/fee_profiles.json,0.0002,0.0004
2026-02-21T03:00:00.548333+00:00,d,binance_perpetual_testnet,BTC-USDT,soft_pause,neutral_low_vol,67969.60,5679.6960000000,0.1196711936695203405252675495,0.50,0.0025,0.00175,0.00050,0.0030,0,False,0.01000000,5000.00000000,0,0,0,0,0E+10,0,0,0,0,0.000009507460715700514987455433778,0.00001100398899002483996458652247,,project:/home/hummingbot/project_config/fee_profiles.json,0.0002,0.0004
