ts,bot_variant,exchange,trading_pair,state,regime,mid,equity_quote,base_pct,target_base_pct,spread_pct,spread_floor_pct,net_edge_pct,skew,adverse_drift_30s,soft_pause_edge,base_balance,quote_balance,market_spread_pct,market_spread_bps,best_bid_size,best_ask_size,turnover_today_x,cancel_per_min,orders_active,fills_count_today,fees_paid_today_quote,daily_loss_pct,drawdown_pct,risk_reasons,fee_source,maker_fee_pct,taker_fee_pct
2026-02-23T18:49:28.733002+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64831.0450000000,7896.620900000000026991344576,0.1641994615696949593413279254,0.50,0.0025,-0.02125,-0.00050,0.0030,0,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.542470894923874819540545737E-7,0.001542470894923874819540545737,0.200478,0.998565,0E+24,0,0,0,0,0,0,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-23T18:50:00.065045+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64836.7150000000,7896.734300000000026993705188,0.1642114639718851908897364498,0.50,0.002507978337265823924173899977,-0.02125,-0.0005842667648358541325983889523,0.0030,0.00008745809974218370226794894329,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.542336005147700650780965692E-7,0.001542336005147700650780965692,0.030846,0.821157,0.007978337265823924173899977356,0,8,8,0.063002809544000000000,0,0,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-23T18:51:10.178593+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64790.9250000000,7895.818500000000026974641271,0.1641145246689751065766913007,0.50,0.002523935963566031817898845569,-0.02125,-0.0008468299576150817641947635608,0.0030,0.0003564043430414944913543017888,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.543426027641988442054192003E-7,0.001543426027641988442054192003,0.193703,0.332384,0.02393596356603181789884556862,0,24,24,0.188994023940000000000,0.0001016130836418904209977499675,0.0001159719911052344785025125212,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T00:50:49.146872+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64990.5650000000,7899.811300000000027057758117,0.1645370060927911053528273017,0.50,0.0001,-0.02125,-0.00146,0.0030,0,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.538684884490541050073960736E-7,0.001538684884490541050073960736,0.516766,1.287902,0E+24,0,0,0,0,0,0,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T00:51:00.198282+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64990.5650000000,7899.811300000000027057758117,0.1645370060927911053528273017,0.50,0.0001,-0.02125,-0.00146,0.0030,0,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.538684884490541050073960736E-7,0.001538684884490541050073960736,0.723047,0.380153,0.007983335536634906682389848740,0,8,8,0.063066844284000000000,0,0,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T00:52:00.438965+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64993.1750000000,7899.863500000000027058844748,0.1645425265892252470699669768,0.50,0.0001,-0.02125,-0.001641128739829494299176818353,0.0030,0.0001811287398294942991768183529,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.538623093886396533174444855E-7,0.001538623093886396533174444855,0.32939,0.828547,0.02395040235264824504270608993,0,24,24,0.189204909356000000000,0,0.00001154436999493174329038655979,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T00:53:00.640772+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64982.0750000000,7899.641500000000027054223445,0.1645190481112339113874076889,0.50,0.0001,-0.02112034213747411555832022199,-0.001511863145010353776671911205,0.0030,0.00005186314501035377667191120537,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.538885915846793134876040816E-7,0.001538885915846793134876040816,1.867365,0.197201,0.03991641242884249860200522505,0,40,40,0.315325348154000000000,0.00002149418429779455655517842057,0.00003964579695627874998409044908,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T00:54:00.829772+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64944.4250000000,7898.888500000000027038548484,0.1644394018221677673500956173,0.50,0.0001,-0.02112034213747411555832022199,-0.001834179980570654484807192260,0.0030,0.0003741799805706544848071922595,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.539778048693171122848497003E-7,0.001539778048693171122848497003,0.270677,0.429473,0.05589027135476086268198471066,0,56,56,0.441471021666000000000,0.0001168129167844806642468709794,0.0001349627992170638672830050968,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T00:55:00.029040+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64961.7750000000,7899.235500000000027045771872,0.1644761065801874146678357184,0.50,0.0001,-0.02093139168113679448170391729,-0.001623454033055115176222147883,0.0030,0.0001634540330551151762221478830,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.539366804555448184720937813E-7,0.001539366804555448184720937813,0.169071,0.409364,0.07185975131720025286706511777,0,72,72,0.567637098626000000000,0.00007288781695329861993210699592,0.00009103849671441787033383730876,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
2026-02-24T00:56:00.265182+00:00,a,bitget_paper_trade,BTC-USDT,running,neutral_low_vol,64889.0250000000,7897.780500000000027015483600,0.1643221788703801052176925494,0.50,0.0001,-0.02093139168113679448170391729,-0.002342882359928842822843126016,0.0030,0.0008828823599288428228431260164,False,0.0200000000000000004163336342344337026588618755340576171875,6600,1.541092657810777708557032564E-7,0.001541092657810777708557032564,0.001265,0.626062,0.07985952614433890608159549144,0,80,80,0.630713008322000000000,0.0002570694315192060391770110386,0.0002752167680151381169074374196,,project:/home/hummingbot/project_config/fee_profiles.json,0.0010,0.0010
